x,y
-1.8499999999999999,-0.65
-1.8359999999999999,-0.642
-1.8219999999999998,-0.634
-1.8079999999999998,-0.626
-1.7939999999999998,-0.618
-1.7799999999999998,-0.61
-1.7659999999999998,-0.602
-1.7519999999999998,-0.594
-1.738,-0.5860000000000001
-1.7239999999999998,-0.5780000000000001
-1.71,-0.5700000000000001
-1.696,-0.562
-1.682,-0.554
-1.668,-0.546
-1.654,-0.538
-1.64,-0.53
-1.626,-0.522
-1.6119999999999999,-0.514
-1.5979999999999999,-0.506
-1.5839999999999999,-0.498
-1.5699999999999998,-0.49
-1.5559999999999998,-0.482
-1.5419999999999998,-0.47400000000000003
-1.528,-0.466
-1.5139999999999998,-0.458
-1.5,-0.45
-1.4859999999999998,-0.442
-1.472,-0.43400000000000005
-1.458,-0.42600000000000005
-1.444,-0.41800000000000004
-1.43,-0.41000000000000003
-1.416,-0.402
-1.402,-0.394
-1.388,-0.386
-1.3739999999999999,-0.378
-1.3599999999999999,-0.37
-1.3459999999999999,-0.362
-1.3319999999999999,-0.35400000000000004
-1.318,-0.34600000000000003
-1.3039999999999998,-0.338
-1.29,-0.33
-1.2759999999999998,-0.322
-1.262,-0.314
-1.2479999999999998,-0.306
-1.234,-0.29800000000000004
-1.22,-0.29000000000000004
-1.206,-0.28200000000000003
-1.192,-0.274
-1.178,-0.266
-1.164,-0.258
-1.15,-0.25
-1.136,-0.242
-1.1219999999999999,-0.23399999999999999
-1.108,-0.22600000000000003
-1.0939999999999999,-0.21800000000000003
-1.08,-0.21000000000000002
-1.0659999999999998,-0.202
-1.052,-0.194
-1.0379999999999998,-0.186
-1.024,-0.178
-1.01,-0.17000000000000004
-0.996,-0.16200000000000003
-0.982,-0.15400000000000003
-0.968,-0.14600000000000002
-0.954,-0.138
-0.94,-0.13
-0.9259999999999999,-0.122
-0.9119999999999999,-0.11399999999999999
-0.8979999999999999,-0.10599999999999998
-0.884,-0.09799999999999998
-0.87,-0.08999999999999997
-0.856,-0.08199999999999996
-0.8419999999999999,-0.07399999999999995
-0.8280000000000001,-0.06600000000000006
-0.8140000000000001,-0.05800000000000005
-0.8,-0.050000000000000044
-0.786,-0.04200000000000004
-0.772,-0.03400000000000003
-0.758,-0.026000000000000023
-0.744,-0.018000000000000016
-0.73,-0.010000000000000009
-0.716,-0.0020000000000000018
-0.702,0.006000000000000005
-0.688,0.014000000000000012
-0.6739999999999999,0.02200000000000002
-0.6599999999999999,0.030000000000000027
-0.6459999999999999,0.038000000000000034
-0.6319999999999999,0.04600000000000004
-0.6180000000000001,0.05399999999999994
-0.6040000000000001,0.061999999999999944
-0.5900000000000001,0.06999999999999995
-0.5760000000000001,0.07799999999999996
-0.562,0.08599999999999997
-0.548,0.09399999999999997
-0.534,0.10199999999999998
-0.52,0.10999999999999999
-0.506,0.118
-0.492,0.126
-0.478,0.134
-0.46399999999999997,0.14200000000000002
-0.45,0.15
-0.45,0.15
-0.45,0.15
-0.45,0.15
-0.45,0.15
-0.45,0.15
-0.45,0.15
-0.45,0.15
-0.45,0.15
-0.45,0.15
-0.45,0.15
-0.45,0.15
-0.45,0.15
-0.45,0.15
-0.45,0.15
-0.45,0.15
-0.45,0.15
-0.45,0.15
-0.45,0.15
-0.45,0.15
-0.45,0.15
-0.45,0.15
-0.45,0.15
-0.45,0.15
-0.45,0.15
-0.45,0.15
-0.45,0.15
-0.45,0.15
-0.45,0.15
-0.45,0.15
-0.45,0.15
-0.45,0.15
-0.45,0.15
-0.45,0.15
-0.45,0.15
-0.45,0.15
-0.45,0.15
-0.45,0.15
-0.45,0.15
-0.45,0.15
-0.44999999999999996,0.15
-0.44999999999999996,0.15
-0.44999999999999996,0.15
-0.44999999999999996,0.15
-0.44999999999999996,0.15
-0.44999999999999996,0.15
-0.44999999999999996,0.15
-0.44999999999999996,0.15
-0.44999999999999996,0.15
-0.44999999999999996,0.15
-0.44999999999999996,0.15
-0.44999999999999996,0.15
-0.44999999999999996,0.15
-0.44999999999999996,0.15
-0.44999999999999996,0.15
-0.44999999999999996,0.15
-0.44999999999999996,0.15
-0.44999999999999996,0.15
-0.44999999999999996,0.15
-0.44999999999999996,0.15
-0.44999999999999996,0.15
-0.44999999999999996,0.15
-0.44999999999999996,0.15
-0.44999999999999996,0.15
-0.44999999999999996,0.15
-0.44999999999999996,0.15
-0.44999999999999996,0.15
-0.44999999999999996,0.15
-0.44999999999999996,0.15
-0.44999999999999996,0.15
